Date,Div
03/26/21,1.263
12/22/20,1.383
09/29/20,1.309
06/29/20,1.433
03/10/20,1.178
12/23/19,1.429
09/26/19,1.301
06/27/19,1.386
03/21/19,1.455
12/17/18,1.289
09/26/18,1.207
06/28/18,1.157
03/26/18,1.084
12/26/17,1.184
09/20/17,1.176
06/23/17,1.01
03/22/17,0.998
12/22/16,1.296
09/13/16,0.883
06/21/16,0.953
03/21/16,1.006
12/21/15,1.092
09/21/15,0.953
06/22/15,0.902
03/23/15,0.984
09/22/14,0.876
06/23/14,0.809
03/24/14,0.779
12/24/13,0.914
09/23/13,0.786
06/24/13,0.738
03/22/13,0.67
12/24/12,0.94
09/24/12,0.686
06/25/12,0.64
03/26/12,0.57
12/23/11,0.686
09/23/11,0.58
06/24/11,0.57
03/25/11,0.536
12/27/10,0.526